postcode,city,state
01000,Kangar,Perlis
01007,Kangar,Perlis
01009,Kangar,Perlis
01500,Kangar,Perlis
01502,Kangar,Perlis
01503,Kangar,Perlis
01504,Kangar,Perlis
01505,Kangar,Perlis
01506,Kangar,Perlis
01508,Kangar,Perlis
01512,Kangar,Perlis
01514,Kangar,Perlis
01516,Kangar,Perlis
01517,Kangar,Perlis
01518,Kangar,Perlis
01524,Kangar,Perlis
01529,Kangar,Perlis
01532,Kangar,Perlis
01538,Kangar,Perlis
01540,Kangar,Perlis
01542,Kangar,Perlis
01546,Kangar,Perlis
01550,Kangar,Perlis
01551,Kangar,Perlis
01556,Kangar,Perlis
01560,Kangar,Perlis
01564,Kangar,Perlis
01570,Kangar,Perlis
01572,Kangar,Perlis
01576,Kangar,Perlis
01578,Kangar,Perlis
01582,Kangar,Perlis
01586,Kangar,Perlis
01590,Kangar,Perlis
01592,Kangar,Perlis
01594,Kangar,Perlis
01596,Kangar,Perlis
01598,Kangar,Perlis
01600,Kangar,Perlis
01604,Kangar,Perlis
01606,Kangar,Perlis
01608,Kangar,Perlis
01609,Kangar,Perlis
01610,Kangar,Perlis
01612,Kangar,Perlis
01614,Kangar,Perlis
01620,Kangar,Perlis
01622,Kangar,Perlis
01626,Kangar,Perlis
01628,Kangar,Perlis
01630,Kangar,Perlis
01632,Kangar,Perlis
01634,Kangar,Perlis
01644,Kangar,Perlis
01646,Kangar,Perlis
01648,Kangar,Perlis
01660,Kangar,Perlis
01664,Kangar,Perlis
01670,Kangar,Perlis
01672,Kangar,Perlis
01673,Kangar,Perlis
01674,Kangar,Perlis
01676,Kangar,Perlis
01680,Kangar,Perlis
01694,Kangar,Perlis
01990,Kangar,Perlis
02000,Kuala Perlis,Perlis
02100,Padang Besar,Perlis
02200,Kaki Bukit,Perlis
02400,Beseri,Perlis
02450,Beseri,Perlis
02500,Mata Ayer,Perlis
02600,Arau,Perlis
02607,Arau,Perlis
02609,Arau,Perlis
02700,Simpang Ampat,Perlis
02707,Simpang Ampat,Perlis
02709,Simpang Ampat,Perlis
02800,Simpang Ampat,Perlis
05000,Alor Setar,Kedah
05050,Alor Setar,Kedah
05100,Alor Setar,Kedah
05150,Alor Setar,Kedah
05200,Alor Setar,Kedah
05250,Alor Setar,Kedah
05300,Alor Setar,Kedah
05350,Alor Setar,Kedah
05400,Alor Setar,Kedah
05460,Alor Setar,Kedah
05500,Alor Setar,Kedah
05502,Alor Setar,Kedah
05503,Alor Setar,Kedah
